,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170
130,200,200,200,200,200,200,210,220,230,250,260,270,280,300,310,320,330,350,360,370,390
132,200,200,200,200,200,220,230,240,250,270,280,290,300,320,330,340,360,370,380,390,410
134,200,200,200,210,220,240,250,260,270,290,300,310,330,340,350,360,380,390,400,420,430
136,200,210,220,230,240,260,270,280,300,310,320,330,350,360,370,390,400,410,420,440,450
138,220,230,240,250,270,280,290,300,320,330,340,360,370,380,390,410,420,430,440,460,470
140,240,250,260,270,290,300,310,330,340,350,360,380,390,400,420,430,440,450,470,480,490
142,260,270,280,300,310,320,330,350,360,370,390,400,410,420,440,450,460,470,490,500,510
144,280,290,300,320,330,340,360,370,380,390,410,420,430,440,460,470,480,500,510,520,530
146,300,310,330,340,350,360,380,390,400,420,430,440,450,470,480,490,500,520,530,540,560
148,320,330,350,360,370,390,400,410,420,440,450,460,470,490,500,510,530,540,550,560,580
150,340,360,370,380,390,410,420,430,440,460,470,480,500,510,520,530,550,560,570,590,600
152,360,380,390,400,410,430,440,450,470,480,490,500,520,530,540,560,570,580,590,610,620
154,390,400,410,420,440,450,460,470,490,500,510,530,540,550,560,580,590,600,610,630,640
156,410,420,430,440,460,470,480,500,510,520,530,550,560,570,590,600,610,620,640,650,660
158,430,440,450,470,480,490,500,520,530,540,560,570,580,590,610,620,630,640,660,670,680
160,450,460,470,490,500,510,530,540,550,560,580,590,600,610,630,640,650,670,680,690,700
162,470,480,500,510,520,530,550,560,570,580,600,610,620,640,650,660,670,690,700,710,730
164,490,500,520,530,540,560,570,580,590,610,620,630,640,660,670,680,700,710,720,730,750
166,510,530,540,550,560,580,590,600,610,630,640,650,670,680,690,700,720,730,740,760,770
168,530,550,560,570,580,600,610,620,640,650,660,670,690,700,710,730,740,750,760,780,790
170,560,570,580,590,610,620,630,640,660,670,680,700,710,720,730,750,760,770,780,800,800
